L2,L1,L2,L2,H5
L2,L1,H6,K,L4
L3,L3,L3,H5,L2
H5,H1,L3,L4,K
H6,H6,L4,H4,H6
H4,H3,K,H6,L2
L2,L4,L1,L2,L1
H4,L2,L4,H3,H5
L4,L1,H6,H2,H4
H1,L2,L2,L4,H2
H2,K,L2,L2,L1
L2,L2,L1,L2,H5
H5,L1,L1,H6,L4
L4,L1,H6,L1,H6
L1,H4,H6,H6,H6
L3,L1,L3,L1,L1
L4,L4,H5,H4,K
L2,L3,H3,L4,L2
H6,H5,H4,H2,L4
L1,L1,H5,L3,L3
H6,L4,L3,H6,H3
H3,L2,H4,L2,L3
L1,L1,L1,L2,L3
H5,L3,L4,H5,L3
H4,L1,H2,H5,L3
L2,L2,H5,L1,L2
L1,H6,L4,L2,L4
K,H5,L2,H6,L3
L1,H6,L2,L4,H4
K,H6,H6,H3,L1
L4,K,L3,H5,L2
L3,L3,H2,H4,L2
L3,L3,L3,L2,H3
L3,L3,H4,H5,L4
L4,H5,H3,L2,H6
L4,H3,L3,L3,L1
L2,L2,L2,H6,H3
L3,L1,H4,L1,H1
L1,H6,L3,K,L1
L2,H2,L4,L3,L4
H3,H4,L3,L4,H4
H4,H5,L4,L1,L1
L2,H2,L1,H4,L4
H6,L4,H3,L1,H6
H6,H5,K,H3,H2
H2,H4,H5,L1,H4
H3,H4,L1,L3,L4
L4,H6,H6,H1,L1
H6,L4,H5,L1,H5
H5,L2,L4,L3,L2
H5,H3,H1,L4,H5
L3,L2,L2,L3,H6
